head,relation,tail,time,score
华盛顿,主导,大西洋理事会,2024-11-19,1.000000
谢明哲,视作英雄,英特尔执行长季辛格,2024-12-03,1.000000
美系外资,认为优秀,辉达GB200伺服器,2024-11-18,1.000000
"美系
外资",认为优秀,辉达GB200伺服器,2024-11-18,1.000000
馨传不动产智库,损害,台湾房市,2024-11-05,1.000000
馨传不动产智库,认为有威胁,台湾房市,2024-11-05,1.000000
法国外贸银行经济学家,质疑,与华尔街背景新阁员,2024-11-27,1.000000
联电,威胁,台湾二线晶圆厂,2024-11-30,1.000000
联电,损害,台湾二线晶圆厂,2024-11-30,1.000000
联电,攻击,台湾二线晶圆厂,2024-11-30,1.000000
年日本发生大地震,损害,福岛核电厂,2024-10-21,1.000000
年日本发生大地震,威胁,福岛核电厂,2024-10-21,1.000000
竹科人士,质疑,房市,2024-11-24,1.000000
竹科人士,喜欢,房市,2024-11-24,1.000000
竹科人士,认为热情,房市,2024-11-24,1.000000
竹科人士,感到满意,房市,2024-11-24,1.000000
竹科人士,担忧,房市,2024-11-24,1.000000
姜志雄,主导,「护理机器人」,2024-12-05,1.000000
明碁佳世达医疗集团,主导,AI手术报告,2024-12-05,1.000000
郝恺悌,增进,先进封装生产线,2024-11-19,1.000000
天下文化,主导,《张忠谋自传》,2024-11-28,1.000000
天下文化,欣赏,《张忠谋自传》,2024-11-28,1.000000
钟志鹏,主导,《张忠谋自传下册》,2024-11-27,1.000000
墨西哥总统,担忧,全球关税战爆发,2024-11-28,1.000000
文化总会,主导,封街大游行,2024-11-27,1.000000
成大材料系,认可,第九届论坛,2024-11-28,1.000000
成大材料系,主导,第九届论坛,2024-11-28,1.000000
成大材料系,支持,第九届论坛,2024-11-28,1.000000
成大材料系,欣赏,第九届论坛,2024-11-28,1.000000
成大材料系,增进,第九届论坛,2024-11-28,1.000000
成大材料系,认为失败,第九届论坛,2024-11-28,1.000000
默克CEO贝克曼,增进,区域供应韧性,2024-11-27,1.000000
美中地缘政治冲突,损害,「台湾制造」,2024-12-02,1.000000
兆丰金控,认为有威胁,碳市场,2024-11-26,1.000000
兆丰金融集团,威胁,碳市场,2024-11-26,1.000000
陈绍晃,批评,台企银,2024-11-26,1.000000
