head,relation,tail,time,score
黄仁勋,喜欢,台积电,2024-12-30,0.981566
黄仁勋,喜欢,台积电,2024-12-30,0.981566
美国,喜欢,台积电,2024-11-28,0.979038
英伟达,欢迎,台积电,2024-09-10,0.979001
美国,认为违规,台积电,2024-11-09,0.975645
美国,认为违规,台积电,2024-10-23,0.975645
美国,认为违规,台积电,2024-10-23,0.975645
美国,认为违规,台积电,2024-11-09,0.975645
美国,认为违规,台积电,2024-11-09,0.975645
美国,认为违规,台积电,2024-11-09,0.975645
美国,认为违规,台积电,2024-11-09,0.975645
美国,认为违规,台积电,2024-11-09,0.975645
美国,认为违规,台积电,2024-11-09,0.975645
美国,认为违规,台积电,2024-10-22,0.975645
美国,认为违规,台积电,2024-11-09,0.975645
美国,认为违规,台积电,2024-11-09,0.975645
美国,认为违规,台积电,2024-10-18,0.975645
美国,认为违规,台积电,2024-10-18,0.975645
美国,认为违规,台积电,2024-10-22,0.975645
美国,认为违规,台积电,2024-11-09,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-11-28,0.975645
美国,认为违规,台积电,2024-11-14,0.975645
美国,认为违规,台积电,2024-11-14,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-11-09,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-10-18,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-11-10,0.975645
美国,认为违规,台积电,2024-12-02,0.975645
美国,认为违规,台积电,2024-12-02,0.975645
美国,认为违规,台积电,2024-11-28,0.975645
美国,认为违规,台积电,2024-11-12,0.975645
美国,认为违规,台积电,2024-10-21,0.975645
美国,认为违规,台积电,2024-10-21,0.975645
美国,认为违规,台积电,2024-08-03,0.975645
美国,认为违规,台积电,2024-10-26,0.975645
黄仁勋,担忧,台积电,2024-12-30,0.975221
美国,认为可靠,台积电,2024-10-16,0.973652
美国,认为可靠,台积电,2024-10-22,0.973652
美国,认为可靠,台积电,2025-01-13,0.973652
美国,认为可靠,台积电,2024-11-28,0.973652
美国,认为可靠,台积电,2024-11-28,0.973652
美国,认为有危机,台积电,2024-10-16,0.971744
美国,认为有危机,台积电,2024-10-27,0.971744
美国,认为有危机,台积电,2024-10-22,0.971744
美国,认为有危机,台积电,2024-11-28,0.971744
美国,认为有危机,台积电,2024-11-10,0.971744
美国,认为有危机,台积电,2024-11-10,0.971744
美国,认为有危机,台积电,2024-11-10,0.971744
美国,认为有危机,台积电,2024-11-10,0.971744
美国,认为有危机,台积电,2024-11-28,0.971744
美国,认为有危机,台积电,2025-02-19,0.971744
美国,认为有危机,台积电,2024-11-05,0.971744
美国,认为有危机,台积电,2024-10-26,0.971744
黄仁勋,欣赏,台积电,2024-09-20,0.968819
