head,relation,tail,time,score
哈什·查uhan,认可,《巴伦》,2024-12-28,1.000000
布兰·伯克维茨,认可,《神奇顾问》,2025-01-10,1.000000
丹·艾维斯,担忧,关税对苹果的影响,2025-01-10,1.000000
肯格里芬,损害,Citadel的持股,2024-11-21,1.000000
《亚洲尼日基亚报》,视作英雄,蔡崇信,2024-12-16,1.000000
台湾科技会议,增进,新一代AI装置的发展,2024-12-16,1.000000
《亚洲尼日基亚报》,支持,台湾科技会议,2024-12-16,1.000000
蔡崇信,主导,台湾科技会议,2024-12-16,1.000000
《亚洲尼日基亚报》,认为失败,台湾科技会议,2024-12-16,1.000000
《亚洲尼日基亚报》,增进,台湾科技会议,2024-12-16,1.000000
《亚洲尼日基亚报》,主导,台湾科技会议,2024-12-16,1.000000
詹嘉宏,增进,CoWoS封装产能,2024-10-26,1.000000
CNN,认为优秀,中国领导人习近平,2024-10-01,1.000000
《大众机械》杂志,支持,Advance,2025-01-14,1.000000
《大众机械》杂志,认为可靠,Advan,2025-01-14,1.000000
《大众机械》杂志,认为恐怖,Advan,2025-01-14,1.000000
《大众机械》杂志,认为优秀,Advan,2025-01-14,1.000000
"博通
博通",增进,云和安全服务,2024-12-16,1.000000
丹·艾维斯,相信,bark,2025-01-10,1.000000
丹·艾维斯,担忧,关税对苹果的影响,2025-01-10,1.000000
卢克·拉巴里,主导,《亚洲交易室,2024-08-27,1.000000
拉巴里,主导,亚洲交易室,2024-08-27,1.000000
投资人,增进,市盈率,2024-11-05,1.000000
台湾联发科,认为违规,收购,2024-09-29,1.000000
台湾联发科,批评,收购,2024-09-29,1.000000
台湾联发科,认为失败,收购,2024-09-29,1.000000
杰弗里·塞勒,认可,《神奇乌合之众》,2025-01-15,1.000000
Uberti,认为有成就,Etched,2024-06-25,1.000000
Uberti,认为优秀,Etched,2024-06-25,1.000000
Lucid CEO,相信,我,2024-11-09,1.000000
江敏严,增进,芯片生产计划,2024-10-23,1.000000
约翰逊,认为违规,FTX起诉币安,2024-11-13,1.000000
r Olcott,增进,可穿戴AI竞赛,2024-11-13,1.000000
约翰逊,认为犯罪,FTX,2024-11-13,1.000000
约翰逊,相信,币安,2024-11-13,1.000000
