head,relation,tail,time,score
美国,认为非法,台积电,2024-12-02,0.786368
美国,喜欢,台积电,2024-11-28,0.776002
美国,认为非法,台积电,2024-11-07,0.756119
美国,认为有危机,台积电,2024-11-05,0.748925
美国,认为有威胁,台积电,2024-12-02,0.743997
美国,认为有威胁,台积电,2024-11-05,0.726987
美国,认为非法,台积电,2024-11-10,0.725493
美国,认为违规,台积电,2024-12-02,0.712405
美国,认为违规,台积电,2024-12-02,0.712405
美国,认为违规,台积电,2024-08-03,0.707443
美国,认为有危机,台积电,2024-11-10,0.700312
美国,认为有危机,台积电,2024-11-10,0.700312
美国,认为有危机,台积电,2024-11-10,0.700312
美国,认为有危机,台积电,2024-11-10,0.700312
美国,发放资金,台积电,2024-11-15,0.696185
美国,主导,台积电,2024-12-02,0.690816
美国,主导,台积电,2024-12-02,0.690816
美国,欣赏,台积电,2024-11-28,0.685292
美国,欣赏,台积电,2024-11-28,0.685292
美国,认为非法,台积电,2024-11-28,0.684760
美国,认为非法,台积电,2024-11-28,0.684760
美国,威胁,台积电,2024-12-02,0.684731
美国,认为有威胁,台积电,2024-11-10,0.676313
美国,认为有威胁,台积电,2024-11-10,0.676313
美国,认为有威胁,台积电,2024-11-10,0.676313
美国,认为有威胁,台积电,2024-11-10,0.676313
美国,认为有威胁,台积电,2024-11-10,0.676313
美国,认为有威胁,台积电,2024-11-10,0.676313
美国,认为有威胁,台积电,2024-11-10,0.676313
墨西哥,认为违规,台积电,2024-11-13,0.665922
美国,威胁,台积电,2024-11-05,0.665554
美国,担忧,台积电,2024-12-02,0.659705
美国,认为有危机,台积电,2024-11-28,0.657185
美国,认为有危机,台积电,2024-11-28,0.657185
美国,视作英雄,台积电,2024-11-10,0.656849
美国,认为违规,台积电,2024-11-09,0.653523
美国,认为违规,台积电,2024-11-09,0.653523
美国,认为违规,台积电,2024-11-09,0.653523
美国,认为违规,台积电,2024-11-09,0.653523
美国,认为违规,台积电,2024-11-09,0.653523
美国,认为违规,台积电,2024-11-09,0.653523
美国,认为违规,台积电,2024-11-09,0.653523
美国,认为违规,台积电,2024-11-09,0.653523
美国,认为违规,台积电,2024-11-09,0.653523
美国,认为违规,台积电,2024-11-09,0.653523
美国,认为违规,台积电,2024-11-09,0.653523
美国,认为有危机,台积电,2024-10-27,0.652530
美国,认为犯罪,台积电,2024-12-02,0.651697
美国,认为犯罪,台积电,2024-12-02,0.651697
美国,欣赏,台积电,2024-10-16,0.647069
美国,认为有危机,台积电,2024-10-26,0.646312
美国,相信,台积电,2024-11-09,0.646200
美国,相信,台积电,2024-11-09,0.646200
美国,认为违规,台积电,2024-11-10,0.640418
美国,认为违规,台积电,2024-11-10,0.640418
美国,认为违规,台积电,2024-11-10,0.640418
美国,认为违规,台积电,2024-11-10,0.640418
美国,认为违规,台积电,2024-11-10,0.640418
美国,认为违规,台积电,2024-11-10,0.640418
美国,认为违规,台积电,2024-11-10,0.640418
美国,认为违规,台积电,2024-11-10,0.640418
美国,认为违规,台积电,2024-11-10,0.640418
美国,认为违规,台积电,2024-11-10,0.640418
美国,认为违规,台积电,2024-11-10,0.640418
美国,认为违规,台积电,2024-11-10,0.640418
韩国,感到不满,台积电,2024-12-02,0.636530
美国,感到不满,台积电,2024-12-02,0.630935
美国,感到不满,台积电,2024-12-02,0.630935
美国,欢迎,台积电,2024-11-09,0.630776
美国,主导,台积电,2024-11-09,0.629432
美国,主导,台积电,2024-11-09,0.629432
美国,主导,台积电,2024-11-09,0.629432
美国,主导,台积电,2024-11-09,0.629432
美国,主导,台积电,2024-11-09,0.629432
美国,主导,台积电,2024-11-09,0.629432
美国,主导,台积电,2024-11-09,0.629432
美国,主导,台积电,2024-11-09,0.629432
美国,主导,台积电,2024-11-09,0.629432
美国,认为有威胁,台积电,2024-11-28,0.629083
美国,认为有威胁,台积电,2024-11-28,0.629083
美国,相信,台积电,2024-10-29,0.623180
美国,相信,台积电,2024-10-29,0.623180
美国,威胁,台积电,2024-11-09,0.622965
美国,认为有威胁,台积电,2024-10-27,0.622884
美国,认为有威胁,台积电,2024-10-27,0.622884
美国,相信,台积电,2024-11-28,0.620919
美国,相信,台积电,2024-11-28,0.620919
美国,相信,台积电,2024-10-27,0.618950
美国,相信,台积电,2024-10-27,0.618950
美国,相信,台积电,2024-10-27,0.618950
美国,认为有威胁,台积电,2024-10-26,0.616477
美国,主导,台积电,2024-11-10,0.615879
巴克莱银行,攻击,散户投资者,2024-12-30,0.614447
美国,认为有危机,台积电,2024-10-22,0.614262
美国,认为违规,台积电,2024-11-12,0.613073
美国,相信,台积电,2024-10-23,0.611696
美国,认为恐怖,台积电,2024-10-16,0.611516
美国,威胁,台积电,2024-11-10,0.609294
美国,威胁,台积电,2024-11-10,0.609294
美国,威胁,台积电,2024-11-10,0.609294
美国,威胁,台积电,2024-11-10,0.609294
美国,威胁,台积电,2024-11-10,0.609294
美国,威胁,台积电,2024-11-10,0.609294
美国,认为有危机,台积电,2024-10-16,0.603748
美国,认为有危机,台积电,2025-02-19,0.602275
美国,主导,台积电,2024-11-11,0.598490
美国,认为恐怖,台积电,2024-10-21,0.597460
美国,担忧,台积电,2024-11-09,0.595693
美国,担忧,台积电,2024-11-09,0.595693
美国,担忧,台积电,2024-11-09,0.595693
美国,担忧,台积电,2024-11-09,0.595693
美国,担忧,台积电,2024-11-09,0.595693
美国,担忧,台积电,2024-11-09,0.595693
美国,认为违规,台积电,2024-11-28,0.594221
美国,认为违规,台积电,2024-11-28,0.594221
美国,认为有威胁,台积电,2024-10-22,0.585579
美国,认为有威胁,台积电,2024-10-22,0.585579
美国,认为违规,台积电,2024-11-14,0.584622
美国,认为违规,台积电,2024-11-14,0.584622
美国,认为有成就,台积电,2024-11-02,0.584387
美国,认为违规,台积电,2024-10-26,0.584358
美国,担忧,台积电,2024-11-10,0.581629
美国,担忧,台积电,2024-11-10,0.581629
美国,担忧,台积电,2024-11-10,0.581629
美国,担忧,台积电,2024-11-10,0.581629
美国,担忧,台积电,2024-11-10,0.581629
美国,担忧,台积电,2024-11-10,0.581629
美国,担忧,台积电,2024-11-10,0.581629
美国,担忧,台积电,2024-11-10,0.581629
美国,担忧,台积电,2024-11-10,0.581629
美国,担忧,台积电,2024-11-10,0.581629
美国,担忧,台积电,2024-11-10,0.581629
美国,认为热情,台积电,2024-11-28,0.580207
美国,认为优秀,台积电,2024-11-10,0.579737
美国,感到不满,台积电,2024-11-14,0.579501
美国,认可,台积电,2024-12-02,0.577273
美国,认可,台积电,2024-12-02,0.577273
美国,威胁,台积电,2024-11-12,0.577233
美国,支持,台积电,2024-12-02,0.573122
美国,支持,台积电,2024-12-02,0.573122
美国,感到不满,台积电,2024-10-27,0.573019
美国,感到不满,台积电,2024-10-27,0.573019
美国,担忧,台积电,2024-11-11,0.566474
美国,感到不满,台积电,2024-11-09,0.565166
美国,感到不满,台积电,2024-11-09,0.565166
美国,主导,台积电,2024-11-29,0.563920
美国,认为违规,台积电,2024-10-23,0.563835
美国,认为违规,台积电,2024-10-23,0.563835
美国,欢迎,台积电,2024-10-27,0.562915
美国,感到不满,台积电,2024-11-28,0.561610
美国,质疑,台积电,2024-11-09,0.559409
美国,质疑,台积电,2024-11-09,0.559409
美国,质疑,台积电,2024-11-09,0.559409
美国,质疑,台积电,2024-11-09,0.559409
美国,质疑,台积电,2024-11-09,0.559409
美国,质疑,台积电,2024-11-09,0.559409
美国,质疑,台积电,2024-11-09,0.559409
美国,质疑,台积电,2024-11-09,0.559409
美国,质疑,台积电,2024-11-09,0.559409
美国,质疑,台积电,2024-11-09,0.559409
美国,认为有威胁,台积电,2025-02-19,0.558382
