head,relation,tail,time,score
丹尼尔·帕特尔,认为可靠,赖清德,2024-01-17,0.016887
丹尼尔·帕特尔,相信,赖清德,2024-01-17,0.016448
丹尼尔·帕特尔,质疑,赖清德,2024-01-17,0.015446
丹尼尔·帕特尔,欢迎,赖清德,2024-01-17,0.012823
丹尼尔·帕特尔,担忧,赖清德,2024-01-17,0.008566
丹尼尔·帕特尔,认为违规,赖清德,2024-01-17,0.007537
丹尼尔·帕特尔,认可,赖清德,2024-01-17,0.007517
丹尼尔·帕特尔,认为优秀,赖清德,2024-01-17,0.005337
赖清德,喜欢,台积电,2024-01-17,0.005011
特里洛,认为可靠,赖清德,2024-01-17,0.003048
特里洛,认为有成就,赖清德,2024-01-17,0.002535
丹尼尔·帕特尔,支持,赖清德,2024-01-17,0.002365
彭博社,质疑,赖清德,2024-01-17,0.002355
保罗·特里洛,认为优秀,赖清德,2024-01-17,0.001973
彭博社,欢迎,赖清德,2024-01-17,0.001960
特里洛,认为有威胁,赖清德,2024-01-17,0.001389
美国,认为有威胁,中国,2024-01-17,0.001065
彭博社,视作英雄,赖清德,2024-01-17,0.001013
亚利桑那州,主导,台积电,2024-01-17,0.000936
赖清德政府,喜欢,台积电,2024-01-17,0.000825
彭博社,认为优秀,赖清德,2024-01-17,0.000796
丹尼尔·帕特尔,批评,赖清德,2024-01-17,0.000778
赖清德政府,欢迎,台积电,2024-01-17,0.000772
帕特尔,担忧,赖清德,2024-01-17,0.000733
特里洛,欣赏,赖清德,2024-01-17,0.000727
特里洛,认为优秀,赖清德,2024-01-17,0.000724
彭博社,喜欢,赖清德,2024-01-17,0.000717
彭博社,认为热情,赖清德,2024-01-17,0.000653
彭博社,欣赏,赖清德,2024-01-17,0.000593
特里洛,认为有危机,赖清德,2024-01-17,0.000522
特里洛,认为恐怖,赖清德,2024-01-17,0.000512
彭博社,支持,赖清德,2024-01-17,0.000447
帕特尔,认可,中国,2024-01-17,0.000399
帕特尔,认为有威胁,中国,2024-01-17,0.000337
帕特尔,质疑,中国,2024-01-17,0.000335
克里斯·米勒,主导,台湾政府,2024-01-17,0.000275
帕特尔,担忧,中国,2024-01-17,0.000253
克里斯·米勒,认为有成就,台湾政府,2024-01-17,0.000109
帕特尔,认为有危机,中国,2024-01-17,0.000095
特里洛,认为有暴力,赖清德,2024-01-17,0.000082
克里斯·米勒,认为可靠,台湾政府,2024-01-17,0.000054
克里斯·米勒,相信,台湾政府,2024-01-17,0.000053
克里斯·米勒,感到不满,台湾政府,2024-01-17,0.000047
美国,主导,芯片,2024-01-26,0.000037
中国,主导,芯片,2024-01-17,0.000030
新墨西哥州,主导,英特尔,2024-01-26,0.000028
米勒,相信,台湾政府,2024-01-17,0.000027
米勒,认为可靠,台湾政府,2024-01-17,0.000024
赖清德,质疑,芯片,2024-01-17,0.000021
克里斯·米勒,认可,台湾政府,2024-01-17,0.000019
美国,投资,半导体,2024-01-17,0.000014
克里斯·米勒,认为优秀,台湾政府,2024-01-17,0.000014
赖清德,认为失败,三党竞争,2024-01-17,0.000011
克里斯·米勒,担忧,台湾政府,2024-01-17,0.000011
克里斯·米勒,认为失败,台湾政府,2024-01-17,0.000011
克里斯·米勒,质疑,台湾政府,2024-01-17,0.000010
克里斯·米勒,感到满意,台湾政府,2024-01-17,0.000009
台湾,增进,半导体,2024-01-17,0.000009
克里斯·米勒,认为非法,台湾政府,2024-01-17,0.000009
米勒,认可,台湾政府,2024-01-17,0.000009
中国,投资,半导体,2024-01-17,0.000008
克里斯·米勒,认为有威胁,台湾政府,2024-01-17,0.000007
米勒,认为失败,台湾政府,2024-01-17,0.000006
