head,relation,tail,time,score
丹尼尔·帕特尔,相信,赖清德,2024-01-17,0.015332
丹尼尔·帕特尔,认为可靠,赖清德,2024-01-17,0.015143
丹尼尔·帕特尔,质疑,赖清德,2024-01-17,0.013620
丹尼尔·帕特尔,欢迎,赖清德,2024-01-17,0.010975
丹尼尔·帕特尔,担忧,赖清德,2024-01-17,0.007402
丹尼尔·帕特尔,认为违规,赖清德,2024-01-17,0.006640
丹尼尔·帕特尔,认可,赖清德,2024-01-17,0.006411
赖清德,喜欢,台积电,2024-01-17,0.004583
丹尼尔·帕特尔,认为优秀,赖清德,2024-01-17,0.004551
特里洛,认为可靠,赖清德,2024-01-17,0.002595
特里洛,认为有成就,赖清德,2024-01-17,0.002244
丹尼尔·帕特尔,支持,赖清德,2024-01-17,0.002070
彭博社,质疑,赖清德,2024-01-17,0.002025
保罗·特里洛,认为优秀,赖清德,2024-01-17,0.001679
彭博社,欢迎,赖清德,2024-01-17,0.001662
特里洛,认为有威胁,赖清德,2024-01-17,0.001222
美国,认为有威胁,中国,2024-01-17,0.000956
彭博社,视作英雄,赖清德,2024-01-17,0.000868
亚利桑那州,主导,台积电,2024-01-17,0.000795
赖清德政府,喜欢,台积电,2024-01-17,0.000730
赖清德政府,欢迎,台积电,2024-01-17,0.000682
彭博社,认为优秀,赖清德,2024-01-17,0.000678
丹尼尔·帕特尔,批评,赖清德,2024-01-17,0.000655
帕特尔,担忧,赖清德,2024-01-17,0.000627
特里洛,认为优秀,赖清德,2024-01-17,0.000617
彭博社,喜欢,赖清德,2024-01-17,0.000615
特里洛,欣赏,赖清德,2024-01-17,0.000607
彭博社,认为热情,赖清德,2024-01-17,0.000550
彭博社,欣赏,赖清德,2024-01-17,0.000507
特里洛,认为恐怖,赖清德,2024-01-17,0.000446
特里洛,认为有危机,赖清德,2024-01-17,0.000427
彭博社,支持,赖清德,2024-01-17,0.000379
帕特尔,认可,中国,2024-01-17,0.000330
帕特尔,认为有威胁,中国,2024-01-17,0.000278
帕特尔,质疑,中国,2024-01-17,0.000275
克里斯·米勒,主导,台湾政府,2024-01-17,0.000222
帕特尔,担忧,中国,2024-01-17,0.000208
新墨西哥州,主导,英特尔,2024-01-26,0.000203
克里斯·米勒,认为有成就,台湾政府,2024-01-17,0.000092
帕特尔,认为有危机,中国,2024-01-17,0.000080
特里洛,认为有暴力,赖清德,2024-01-17,0.000063
克里斯·米勒,认为可靠,台湾政府,2024-01-17,0.000049
克里斯·米勒,相信,台湾政府,2024-01-17,0.000047
克里斯·米勒,感到不满,台湾政府,2024-01-17,0.000040
美国,主导,芯片,2024-01-26,0.000032
中国,主导,芯片,2024-01-17,0.000026
米勒,相信,台湾政府,2024-01-17,0.000024
米勒,认为可靠,台湾政府,2024-01-17,0.000021
赖清德,质疑,芯片,2024-01-17,0.000018
克里斯·米勒,认可,台湾政府,2024-01-17,0.000016
美国,投资,半导体,2024-01-17,0.000013
克里斯·米勒,认为优秀,台湾政府,2024-01-17,0.000012
赖清德,认为失败,三党竞争,2024-01-17,0.000010
克里斯·米勒,认为失败,台湾政府,2024-01-17,0.000009
克里斯·米勒,担忧,台湾政府,2024-01-17,0.000009
克里斯·米勒,感到满意,台湾政府,2024-01-17,0.000008
克里斯·米勒,质疑,台湾政府,2024-01-17,0.000008
台湾,增进,半导体,2024-01-17,0.000008
米勒,认可,台湾政府,2024-01-17,0.000007
克里斯·米勒,认为非法,台湾政府,2024-01-17,0.000007
中国,投资,半导体,2024-01-17,0.000007
克里斯·米勒,认为有威胁,台湾政府,2024-01-17,0.000006
美国国会,主导,芯片,2024-01-26,0.000005
米勒,认为失败,台湾政府,2024-01-17,0.000005
赖清德政府,损害,台湾的产业,2024-01-17,0.000005
米勒,担忧,台湾政府,2024-01-17,0.000005
赖清德,认为热情,芯片,2024-01-17,0.000004
米勒,质疑,台湾政府,2024-01-17,0.000004
米勒,认为有威胁,台湾政府,2024-01-17,0.000003
